from	to	combined_score
MAPK13	MAPK12	942
MAPK13	MAPK12	942
MAPK13	MAPK1	817
MAPK13	MAPK1	817
MAPK12	MAPK1	868
MAPK12	MAPK1	868
CD4	RBX1	824
CD4	RBX1	824
CD4	NFKBIA	585
CD4	NFKBIA	585
SIRT1	NFKBIA	551
SIRT1	NFKBIA	551
MAPK1	NFKBIA	949
MAPK1	NFKBIA	949
RBX1	NFKBIA	760
RBX1	NFKBIA	760
MAPK1	CDC37	595
MAPK1	CDC37	595
CD4	IL2	918
CD4	IL2	918
MAPK1	IL2	931
MAPK1	IL2	931
NFKBIA	IL2	559
NFKBIA	IL2	559
PIK3R2	IL2	556
PIK3R2	IL2	556
CD4	CCND1	571
CD4	CCND1	571
SIRT1	CCND1	583
SIRT1	CCND1	583
MAPK12	CCND1	924
MAPK12	CCND1	924
MAPK1	CCND1	649
MAPK1	CCND1	649
NFKBIA	CCND1	635
NFKBIA	CCND1	635
CD4	IFNG	941
CD4	IFNG	941
NFKBIA	IFNG	585
NFKBIA	IFNG	585
IL2	IFNG	907
IL2	IFNG	907
CD4	GAPDH	736
CD4	GAPDH	736
SIRT1	GAPDH	937
SIRT1	GAPDH	937
MAPK1	GAPDH	640
MAPK1	GAPDH	640
NFKBIA	GAPDH	755
NFKBIA	GAPDH	755
IL2	GAPDH	650
IL2	GAPDH	650
CCND1	GAPDH	818
CCND1	GAPDH	818
IFNG	GAPDH	610
IFNG	GAPDH	610
CD4	MAPK14	608
CD4	MAPK14	608
MAPK13	MAPK14	906
MAPK13	MAPK14	906
MAPK12	MAPK14	909
MAPK12	MAPK14	909
MAPK1	MAPK14	977
MAPK1	MAPK14	977
NFKBIA	MAPK14	979
NFKBIA	MAPK14	979
IL2	MAPK14	938
IL2	MAPK14	938
CCND1	MAPK14	550
CCND1	MAPK14	550
IFNG	MAPK14	564
IFNG	MAPK14	564
GAPDH	MAPK14	552
GAPDH	MAPK14	552
CD4	HBEGF	519
CD4	HBEGF	519
CDC37	HBEGF	900
CDC37	HBEGF	900
CD4	IL4	923
CD4	IL4	923
NFKBIA	IL4	575
NFKBIA	IL4	575
IL2	IL4	938
IL2	IL4	938
IFNG	IL4	910
IFNG	IL4	910
GAPDH	IL4	682
GAPDH	IL4	682
MAPK14	IL4	946
MAPK14	IL4	946
MAPK13	NCK2	900
MAPK13	NCK2	900
MAPK12	NCK2	900
MAPK12	NCK2	900
PIK3R2	NCK2	607
PIK3R2	NCK2	607
MAPK14	NCK2	911
MAPK14	NCK2	911
CD4	PLCG1	956
CD4	PLCG1	956
MAPK1	PLCG1	681
MAPK1	PLCG1	681
CDC37	PLCG1	600
CDC37	PLCG1	600
PIK3R2	PLCG1	731
PIK3R2	PLCG1	731
IL2	PLCG1	560
IL2	PLCG1	560
HBEGF	PLCG1	660
HBEGF	PLCG1	660
CDC37	EREG	900
CDC37	EREG	900
HBEGF	EREG	891
HBEGF	EREG	891
PLCG1	EREG	635
PLCG1	EREG	635
MAPK12	HSPB1	540
MAPK12	HSPB1	540
NFKBIA	HSPB1	680
NFKBIA	HSPB1	680
GAPDH	HSPB1	622
GAPDH	HSPB1	622
MAPK14	HSPB1	985
MAPK14	HSPB1	985
HBEGF	PTPN12	905
HBEGF	PTPN12	905
EREG	PTPN12	910
EREG	PTPN12	910
MAPK1	RAC2	798
MAPK1	RAC2	798
PIK3R2	RAC2	670
PIK3R2	RAC2	670
MAPK14	RAC2	550
MAPK14	RAC2	550
NCK2	RAC2	714
NCK2	RAC2	714
RBX1	NEDD8	999
RBX1	NEDD8	999
NFKBIA	NEDD8	603
NFKBIA	NEDD8	603
NEDD8	RPS16	560
NEDD8	RPS16	560
CD4	KRAS	550
CD4	KRAS	550
MAPK13	KRAS	546
MAPK13	KRAS	546
MAPK12	KRAS	508
MAPK12	KRAS	508
MAPK1	KRAS	989
MAPK1	KRAS	989
CDC37	KRAS	911
CDC37	KRAS	911
PIK3R2	KRAS	894
PIK3R2	KRAS	894
IL2	KRAS	944
IL2	KRAS	944
CCND1	KRAS	761
CCND1	KRAS	761
GAPDH	KRAS	657
GAPDH	KRAS	657
MAPK14	KRAS	729
MAPK14	KRAS	729
HBEGF	KRAS	940
HBEGF	KRAS	940
PLCG1	KRAS	615
PLCG1	KRAS	615
EREG	KRAS	954
EREG	KRAS	954
SIRT1	CCNB1	608
SIRT1	CCNB1	608
CCND1	CCNB1	937
CCND1	CCNB1	937
GAPDH	CCNB1	798
GAPDH	CCNB1	798
SIRT1	MDM2	680
SIRT1	MDM2	680
RBX1	MDM2	526
RBX1	MDM2	526
CCND1	MDM2	804
CCND1	MDM2	804
GAPDH	MDM2	725
GAPDH	MDM2	725
NEDD8	MDM2	954
NEDD8	MDM2	954
KRAS	MDM2	671
KRAS	MDM2	671
CCNB1	MDM2	635
CCNB1	MDM2	635
HBEGF	ADAM10	909
HBEGF	ADAM10	909
MAPK1	ITGAV	936
MAPK1	ITGAV	936
MAPK13	CYBA	658
MAPK13	CYBA	658
MAPK12	CYBA	661
MAPK12	CYBA	661
MAPK1	CYBA	638
MAPK1	CYBA	638
MAPK14	CYBA	757
MAPK14	CYBA	757
RAC2	CYBA	993
RAC2	CYBA	993
CD4	CDH1	520
CD4	CDH1	520
SIRT1	CDH1	585
SIRT1	CDH1	585
MAPK1	CDH1	940
MAPK1	CDH1	940
CCND1	CDH1	869
CCND1	CDH1	869
GAPDH	CDH1	810
GAPDH	CDH1	810
KRAS	CDH1	754
KRAS	CDH1	754
CCNB1	CDH1	590
CCNB1	CDH1	590
MDM2	CDH1	845
MDM2	CDH1	845
ADAM10	CDH1	958
ADAM10	CDH1	958
ITGAV	CDH1	519
ITGAV	CDH1	519
PIK3R2	FLT4	752
PIK3R2	FLT4	752
NCK2	FLT4	847
NCK2	FLT4	847
PLCG1	FLT4	941
PLCG1	FLT4	941
EREG	FLT4	652
EREG	FLT4	652
KRAS	FLT4	526
KRAS	FLT4	526
