from	to	combined_score
CD4	RBX1	824
CD4	RBX1	824
CD4	NFKBIA	585
CD4	NFKBIA	585
SIRT1	NFKBIA	551
SIRT1	NFKBIA	551
MAPK1	NFKBIA	949
MAPK1	NFKBIA	949
RBX1	NFKBIA	760
RBX1	NFKBIA	760
MAPK1	CDC37	595
MAPK1	CDC37	595
STUB1	CDC37	947
STUB1	CDC37	947
CD4	IL2	918
CD4	IL2	918
MAPK1	IL2	931
MAPK1	IL2	931
NFKBIA	IL2	559
NFKBIA	IL2	559
PIK3R2	IL2	556
PIK3R2	IL2	556
CD4	CCND1	571
CD4	CCND1	571
SIRT1	CCND1	583
SIRT1	CCND1	583
MAPK1	CCND1	649
MAPK1	CCND1	649
NFKBIA	CCND1	635
NFKBIA	CCND1	635
CD4	GAPDH	736
CD4	GAPDH	736
SIRT1	GAPDH	937
SIRT1	GAPDH	937
MAPK1	GAPDH	640
MAPK1	GAPDH	640
NFKBIA	GAPDH	755
NFKBIA	GAPDH	755
STUB1	GAPDH	596
STUB1	GAPDH	596
IL2	GAPDH	650
IL2	GAPDH	650
CCND1	GAPDH	818
CCND1	GAPDH	818
CD4	MAPK14	608
CD4	MAPK14	608
MAPK1	MAPK14	977
MAPK1	MAPK14	977
NFKBIA	MAPK14	979
NFKBIA	MAPK14	979
IL2	MAPK14	938
IL2	MAPK14	938
CCND1	MAPK14	550
CCND1	MAPK14	550
GAPDH	MAPK14	552
GAPDH	MAPK14	552
CD4	HBEGF	519
CD4	HBEGF	519
CDC37	HBEGF	900
CDC37	HBEGF	900
CD4	IL4	923
CD4	IL4	923
NFKBIA	IL4	575
NFKBIA	IL4	575
IL2	IL4	938
IL2	IL4	938
GAPDH	IL4	682
GAPDH	IL4	682
MAPK14	IL4	946
MAPK14	IL4	946
CD4	PLCG1	956
CD4	PLCG1	956
MAPK1	PLCG1	681
MAPK1	PLCG1	681
CDC37	PLCG1	600
CDC37	PLCG1	600
PIK3R2	PLCG1	731
PIK3R2	PLCG1	731
IL2	PLCG1	560
IL2	PLCG1	560
HBEGF	PLCG1	660
HBEGF	PLCG1	660
CDC37	EREG	900
CDC37	EREG	900
HBEGF	EREG	891
HBEGF	EREG	891
PLCG1	EREG	635
PLCG1	EREG	635
PTPN18	PTPN12	912
PTPN18	PTPN12	912
HBEGF	PTPN12	905
HBEGF	PTPN12	905
EREG	PTPN12	910
EREG	PTPN12	910
RBX1	NEDD8	999
RBX1	NEDD8	999
NFKBIA	NEDD8	603
NFKBIA	NEDD8	603
NEDD8	RPS16	560
NEDD8	RPS16	560
CD4	KRAS	550
CD4	KRAS	550
MAPK1	KRAS	989
MAPK1	KRAS	989
CDC37	KRAS	911
CDC37	KRAS	911
PIK3R2	KRAS	894
PIK3R2	KRAS	894
IL2	KRAS	944
IL2	KRAS	944
CCND1	KRAS	761
CCND1	KRAS	761
GAPDH	KRAS	657
GAPDH	KRAS	657
MAPK14	KRAS	729
MAPK14	KRAS	729
HBEGF	KRAS	940
HBEGF	KRAS	940
PLCG1	KRAS	615
PLCG1	KRAS	615
EREG	KRAS	954
EREG	KRAS	954
SIRT1	MDM2	680
SIRT1	MDM2	680
RBX1	MDM2	526
RBX1	MDM2	526
STUB1	MDM2	612
STUB1	MDM2	612
CCND1	MDM2	804
CCND1	MDM2	804
GAPDH	MDM2	725
GAPDH	MDM2	725
NEDD8	MDM2	954
NEDD8	MDM2	954
KRAS	MDM2	671
KRAS	MDM2	671
CD4	CDH1	520
CD4	CDH1	520
SIRT1	CDH1	585
SIRT1	CDH1	585
MAPK1	CDH1	940
MAPK1	CDH1	940
CCND1	CDH1	869
CCND1	CDH1	869
GAPDH	CDH1	810
GAPDH	CDH1	810
KRAS	CDH1	754
KRAS	CDH1	754
MDM2	CDH1	845
MDM2	CDH1	845
SIRT1	CREBBP	746
SIRT1	CREBBP	746
MAPK1	CREBBP	675
MAPK1	CREBBP	675
RBX1	CREBBP	761
RBX1	CREBBP	761
NFKBIA	CREBBP	966
NFKBIA	CREBBP	966
CCND1	CREBBP	968
CCND1	CREBBP	968
GAPDH	CREBBP	543
GAPDH	CREBBP	543
MAPK14	CREBBP	937
MAPK14	CREBBP	937
MDM2	CREBBP	997
MDM2	CREBBP	997
CDH1	CREBBP	789
CDH1	CREBBP	789
MAPK1	GAB1	947
MAPK1	GAB1	947
CDC37	GAB1	608
CDC37	GAB1	608
PIK3R2	GAB1	860
PIK3R2	GAB1	860
HBEGF	GAB1	534
HBEGF	GAB1	534
PLCG1	GAB1	986
PLCG1	GAB1	986
EREG	GAB1	548
EREG	GAB1	548
KRAS	GAB1	523
KRAS	GAB1	523
CD4	MAPK3	594
CD4	MAPK3	594
SIRT1	MAPK3	571
SIRT1	MAPK3	571
MAPK1	MAPK3	988
MAPK1	MAPK3	988
NFKBIA	MAPK3	972
NFKBIA	MAPK3	972
STUB1	MAPK3	570
STUB1	MAPK3	570
IL2	MAPK3	950
IL2	MAPK3	950
CCND1	MAPK3	750
CCND1	MAPK3	750
GAPDH	MAPK3	827
GAPDH	MAPK3	827
MAPK14	MAPK3	957
MAPK14	MAPK3	957
HBEGF	MAPK3	519
HBEGF	MAPK3	519
IL4	MAPK3	540
IL4	MAPK3	540
PLCG1	MAPK3	806
PLCG1	MAPK3	806
KRAS	MAPK3	986
KRAS	MAPK3	986
MDM2	MAPK3	552
MDM2	MAPK3	552
CDH1	MAPK3	971
CDH1	MAPK3	971
CREBBP	MAPK3	701
CREBBP	MAPK3	701
GAB1	MAPK3	952
GAB1	MAPK3	952
SIRT1	EP300	999
SIRT1	EP300	999
MAPK1	EP300	713
MAPK1	EP300	713
RBX1	EP300	735
RBX1	EP300	735
NFKBIA	EP300	982
NFKBIA	EP300	982
CCND1	EP300	995
CCND1	EP300	995
GAPDH	EP300	866
GAPDH	EP300	866
MAPK14	EP300	965
MAPK14	EP300	965
KRAS	EP300	941
KRAS	EP300	941
MDM2	EP300	999
MDM2	EP300	999
CDH1	EP300	593
CDH1	EP300	593
CREBBP	EP300	996
CREBBP	EP300	996
MAPK3	EP300	714
MAPK3	EP300	714
CD4	IL1B	876
CD4	IL1B	876
SIRT1	IL1B	651
SIRT1	IL1B	651
NFKBIA	IL1B	882
NFKBIA	IL1B	882
IL2	IL1B	876
IL2	IL1B	876
CCND1	IL1B	523
CCND1	IL1B	523
GAPDH	IL1B	837
GAPDH	IL1B	837
MAPK14	IL1B	972
MAPK14	IL1B	972
HBEGF	IL1B	559
HBEGF	IL1B	559
IL4	IL1B	990
