from	to	combined_score
FGF4	MAPK1	919
FGF4	MAPK1	919
FGF20	MAPK1	917
FGF20	MAPK1	917
CD4	RBX1	824
CD4	RBX1	824
CD4	NFKBIA	585
CD4	NFKBIA	585
MAPK1	NFKBIA	949
MAPK1	NFKBIA	949
RBX1	NFKBIA	760
RBX1	NFKBIA	760
FGF4	PIK3R2	507
FGF4	PIK3R2	507
CD4	IL2	918
CD4	IL2	918
MAPK1	IL2	931
MAPK1	IL2	931
NFKBIA	IL2	559
NFKBIA	IL2	559
PIK3R2	IL2	556
PIK3R2	IL2	556
CD4	CCND1	571
CD4	CCND1	571
FGF4	CCND1	507
FGF4	CCND1	507
MAPK1	CCND1	649
MAPK1	CCND1	649
NFKBIA	CCND1	635
NFKBIA	CCND1	635
CD4	GAPDH	736
CD4	GAPDH	736
MAPK1	GAPDH	640
MAPK1	GAPDH	640
NFKBIA	GAPDH	755
NFKBIA	GAPDH	755
IL2	GAPDH	650
IL2	GAPDH	650
CCND1	GAPDH	818
CCND1	GAPDH	818
CD4	MAPK14	608
CD4	MAPK14	608
MAPK1	MAPK14	977
MAPK1	MAPK14	977
NFKBIA	MAPK14	979
NFKBIA	MAPK14	979
IL2	MAPK14	938
IL2	MAPK14	938
CCND1	MAPK14	550
CCND1	MAPK14	550
GAPDH	MAPK14	552
GAPDH	MAPK14	552
MAPK1	FGF23	901
MAPK1	FGF23	901
CD4	PLCG1	956
CD4	PLCG1	956
FGF4	PLCG1	617
FGF4	PLCG1	617
FGF20	PLCG1	613
FGF20	PLCG1	613
MAPK1	PLCG1	681
MAPK1	PLCG1	681
PIK3R2	PLCG1	731
PIK3R2	PLCG1	731
IL2	PLCG1	560
IL2	PLCG1	560
FGF23	PLCG1	650
FGF23	PLCG1	650
RBX1	NEDD8	999
RBX1	NEDD8	999
NFKBIA	NEDD8	603
NFKBIA	NEDD8	603
NEDD8	RPS16	560
NEDD8	RPS16	560
CD4	KRAS	550
CD4	KRAS	550
FGF4	KRAS	918
FGF4	KRAS	918
FGF20	KRAS	915
FGF20	KRAS	915
MAPK1	KRAS	989
MAPK1	KRAS	989
PIK3R2	KRAS	894
PIK3R2	KRAS	894
IL2	KRAS	944
IL2	KRAS	944
CCND1	KRAS	761
CCND1	KRAS	761
GAPDH	KRAS	657
GAPDH	KRAS	657
MAPK14	KRAS	729
MAPK14	KRAS	729
FGF23	KRAS	910
FGF23	KRAS	910
PLCG1	KRAS	615
PLCG1	KRAS	615
RBX1	MDM2	526
RBX1	MDM2	526
CCND1	MDM2	804
CCND1	MDM2	804
GAPDH	MDM2	725
GAPDH	MDM2	725
NEDD8	MDM2	954
NEDD8	MDM2	954
KRAS	MDM2	671
KRAS	MDM2	671
CD4	CDH1	520
CD4	CDH1	520
MAPK1	CDH1	940
MAPK1	CDH1	940
CCND1	CDH1	869
CCND1	CDH1	869
GAPDH	CDH1	810
GAPDH	CDH1	810
KRAS	CDH1	754
KRAS	CDH1	754
MDM2	CDH1	845
MDM2	CDH1	845
MAPK1	CREBBP	675
MAPK1	CREBBP	675
RBX1	CREBBP	761
RBX1	CREBBP	761
NFKBIA	CREBBP	966
NFKBIA	CREBBP	966
CCND1	CREBBP	968
CCND1	CREBBP	968
GAPDH	CREBBP	543
GAPDH	CREBBP	543
MAPK14	CREBBP	937
MAPK14	CREBBP	937
MDM2	CREBBP	997
MDM2	CREBBP	997
CDH1	CREBBP	789
CDH1	CREBBP	789
GAPDH	RPL8	614
GAPDH	RPL8	614
NEDD8	RPL8	571
NEDD8	RPL8	571
RPS16	RPL8	999
RPS16	RPL8	999
FGF4	GAB1	524
FGF4	GAB1	524
FGF20	GAB1	506
FGF20	GAB1	506
MAPK1	GAB1	947
MAPK1	GAB1	947
PIK3R2	GAB1	860
PIK3R2	GAB1	860
FGF23	GAB1	513
FGF23	GAB1	513
PLCG1	GAB1	986
PLCG1	GAB1	986
KRAS	GAB1	523
KRAS	GAB1	523
CD4	MAPK3	594
CD4	MAPK3	594
FGF4	MAPK3	940
FGF4	MAPK3	940
FGF20	MAPK3	926
FGF20	MAPK3	926
MAPK1	MAPK3	988
MAPK1	MAPK3	988
NFKBIA	MAPK3	972
NFKBIA	MAPK3	972
IL2	MAPK3	950
IL2	MAPK3	950
CCND1	MAPK3	750
CCND1	MAPK3	750
GAPDH	MAPK3	827
GAPDH	MAPK3	827
MAPK14	MAPK3	957
MAPK14	MAPK3	957
FGF23	MAPK3	936
FGF23	MAPK3	936
PLCG1	MAPK3	806
PLCG1	MAPK3	806
KRAS	MAPK3	986
KRAS	MAPK3	986
MDM2	MAPK3	552
MDM2	MAPK3	552
CDH1	MAPK3	971
CDH1	MAPK3	971
CREBBP	MAPK3	701
CREBBP	MAPK3	701
GAB1	MAPK3	952
GAB1	MAPK3	952
MAPK1	EP300	713
MAPK1	EP300	713
RBX1	EP300	735
RBX1	EP300	735
NFKBIA	EP300	982
NFKBIA	EP300	982
CCND1	EP300	995
CCND1	EP300	995
GAPDH	EP300	866
GAPDH	EP300	866
MAPK14	EP300	965
MAPK14	EP300	965
KRAS	EP300	941
KRAS	EP300	941
MDM2	EP300	999
MDM2	EP300	999
CDH1	EP300	593
CDH1	EP300	593
CREBBP	EP300	996
CREBBP	EP300	996
MAPK3	EP300	714
MAPK3	EP300	714
CD4	IL1B	876
CD4	IL1B	876
NFKBIA	IL1B	882
NFKBIA	IL1B	882
IL2	IL1B	876
IL2	IL1B	876
CCND1	IL1B	523
CCND1	IL1B	523
GAPDH	IL1B	837
GAPDH	IL1B	837
MAPK14	IL1B	972
MAPK14	IL1B	972
CDH1	IL1B	560
CDH1	IL1B	560
CREBBP	IL1B	932
CREBBP	IL1B	932
MAPK3	IL1B	712
MAPK3	IL1B	712
EP300	IL1B	938
EP300	IL1B	938
FGF4	KDR	829
FGF4	KDR	829
FGF20	KDR	800
FGF20	KDR	800
PIK3R2	KDR	885
PIK3R2	KDR	885
CCND1	KDR	582
CCND1	KDR	582
GAPDH	KDR	647
GAPDH	KDR	647
MAPK14	KDR	924
MAPK14	KDR	924
FGF23	KDR	749
FGF23	KDR	749
PLCG1	KDR	989
PLCG1	KDR	989
KRAS	KDR	754
KRAS	KDR	754
CDH1	KDR	644
CDH1	KDR	644
GAB1	KDR	920
GAB1	KDR	920
IL1B	KDR	627
IL1B	KDR	627
CD4	PIK3CA	927
CD4	PIK3CA	927
FGF4	PIK3CA	625
FGF4	PIK3CA	625
FGF20	PIK3CA	507
FGF20	PIK3CA	507
MAPK1	PIK3CA	603
MAPK1	PIK3CA	603
NFKBIA	PIK3CA	931
NFKBIA	PIK3CA	931
PIK3R2	PIK3CA	999
PIK3R2	PIK3CA	999
IL2	PIK3CA	919
IL2	PIK3CA	919
CCND1	PIK3CA	687
CCND1	PIK3CA	687
GAPDH	PIK3CA	505
GAPDH	PIK3CA	505
FGF23	PIK3CA	521
FGF23	PIK3CA	521
PLCG1	PIK3CA	884
PLCG1	PIK3CA	884
KRAS	PIK3CA	999
KRAS	PIK3CA	999
MDM2	PIK3CA	617
MDM2	PIK3CA	617
CDH1	PIK3CA	953
CDH1	PIK3CA	953
CREBBP	PIK3CA	567
CREBBP	PIK3CA	567
