name	degree	is_seed	betweenness	closeness	eigenvector	hub_score	authority_score	community	mean_expr_UroB	mean_expr_GU	mean_expr_UroA	mean_expr_BaSq	mean_expr_UroC	pathway	is_well_expressed	global_mean	f_statistic	p_value	df_between	df_within	eta_squared	partial_eta_squared	omega_squared	cohens_f	expression_range	overall_sd	effect_size_ratio	p_adjusted_bh	p_adjusted_bonf	significant_05	significant_01	effect_size_category	cohens_f_category	sig_and_meaningful	sig_and_large_effect	rank_UroA	rank_UroB	rank_UroC	rank_GU	rank_BaSq	sc_norm_mean_expression	sc_norm_detection_rate	sc_norm_max_expression	sc_norm_cells_expressing	sc_norm_total_urothelial_cells	sc_norm_classification	sc_cancer_mean_expression	sc_cancer_detection_rate	sc_cancer_max_expression	sc_cancer_cells_expressing	sc_cancer_total_urothelial_cells	sc_cancer_classification	min_p_adjust	functional_diversity	functional_significance	functional_category	functional_specificity_ratio	pathway_role	functional_structural_importance	hpa_normal_tissue	IHC tissue name	hpa_normal_cell_type	hpa_normal_level	hpa_normal_reliability	hpa_cancer_type	hpa_cancer_high	hpa_cancer_medium	hpa_cancer_low	hpa_cancer_not_detected	hpa_normal_expressed	hpa_normal_reliable	hpa_cancer_expressed	hpa_cancer_confidence	hpa_expression_pattern	hpa_data_quality	hpa_filter_has_data	hpa_filter_normal_quality	hpa_filter_cancer_quality	hpa_passes_filter	hpa_high_confidence	hpa_therapeutic_target	hpa_potential_suppressor	is_amplified	is_homdel	tcga_mutsig_q_value	tcga_num_mutations	tcga_num_samples_mutated	tcga_profiled_samples	tcga_frequency	tcga_is_cancer_gene	tcga_mutation_frequency	pathway_sharing	n_pathways	pathways_list	UroA_mut_freq	UroA_alt_freq	UroB_mut_freq	UroB_alt_freq	UroC_mut_freq	UroC_alt_freq	GU_mut_freq	GU_alt_freq	BaSq_mut_freq	BaSq_alt_freq
MAPK13	72	TRUE	20.7193905430084	0.0021551724137931	0.247144368969466	0.247144368969466	0.247144368969466	1	0.246418425865689	-0.0576362125843151	0.612724938508561	-0.42783394467664	-0.07318704574203	EGFR	TRUE	0.258429517739683	44.2843895714404	1.27749539315862e-31	4	477	0.270795578150213	0.270795578150213	0.264276648615284	0.609391142485991	1.0405588831852	0.72642744268616	1.43243333337939	7.66497235895173e-31	3.67918673229683e-29	TRUE	TRUE	Large	Very Large	TRUE	TRUE	1	2	4	3	5	0.0555640967947156	0.0557216763966016	2.13995587708234	1174	21069	Non-urothelial	0.397919485134498	0.476720647773279	1.87718081690313	471	988	Urothelial	2.43787787138246e-30	34	29.6129880547116	Phosphorylation	1.0242024161558	Signal_Modifier	-0.528044055512837	Urinary bladder	Urinary bladder	urothelial cells	High	Enhanced	urothelial cancer	4	6	0	1	TRUE	High	TRUE	High	Constitutive	High	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	NA	3	3	412	0.7%	FALSE	0.007	Unique_to_EGFR	1	EGFR	0.0158730158730159	NA	NA	0.0161290322580645	NA	NA	0.0138888888888889	NA	0.00943396226415094	0.0192307692307692
MAPK12	82	TRUE	44.6042047369756	0.00220264317180617	0.276103764922034	0.276103764922034	0.276103764922033	1	-0.282082191465712	-0.0273360382297385	-0.63507494974772	0.765958295944807	0.246194592524504	EGFR	FALSE	-0.245002051830173	58.6193290971181	3.07000873366374e-40	4	477	0.329564008559966	0.329564008559966	0.323487234031191	0.701118179071154	1.40103324569253	0.809644867429449	1.73042935495989	4.42081257647579e-39	8.84162515295158e-38	TRUE	TRUE	Large	Very Large	TRUE	TRUE	5	4	2	3	1	0.00159861198525887	0.00185106080022782	1.49038171451844	39	21069	Non-urothelial	0.00117621095325823	0.00202429149797571	0.740379817850321	2	988	Non-urothelial	2.43787787138246e-30	12	29.6129880547116	Phosphorylation	1.0242024161558	Signal_Modifier	-0.247417811882051	Urinary bladder	Urinary bladder	urothelial cells	Not detected	Enhanced	urothelial cancer	0	1	6	5	FALSE	High	TRUE	Low	Cancer_upregulated	High	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	2	2	412	0.5%	FALSE	0.005	Unique_to_EGFR	1	EGFR	0.00793650793650794	0.0241935483870968	0.0161290322580645	NA	NA	0.1	NA	0.0555555555555556	NA	0.0192307692307692
CD4	142	FALSE	45.1356241188864	0.0024390243902439	0.582688222736159	0.58268822273616	0.582688222736158	1	0.128782480201311	-0.318018537728789	-0.380723167461582	0.197233359304871	0.320596616215155	EGFR	FALSE	-0.194291714527832	11.6425421677158	4.98593678335484e-09	4	477	0.0889473301908824	0.0889473301908824	0.0811524772343155	0.312460206844565	0.701319783676737	0.851861279223685	0.823279330545298	8.2054273920354e-09	1.43594979360619e-06	TRUE	TRUE	Medium	Large	TRUE	TRUE	5	3	1	4	2	0.0118940196741716	0.0116284588732261	2.00065018203098	245	21069	Non-urothelial	0	0	0	0	988	Non-urothelial	1.34080447301139e-33	74	32.8726345498766	Phosphorylation	1.13694138765012	Signal_Modifier	1.12204625152352	Urinary bladder	Urinary bladder	urothelial cells	Not detected	Enhanced	urothelial cancer	0	0	0	12	FALSE	High	FALSE	None	Not_expressed	High	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	NA	3	3	412	0.7%	FALSE	0.007	Shared_all_3	3	EGFR,FGFR3,ERBB2	NA	0.0161290322580645	0.032258064516129	0.0161290322580645	NA	NA	0.0277777777777778	0.0138888888888889	NA	0.0288461538461538
SIRT1	106	FALSE	15.2802695445339	0.00230414746543779	0.415307954188281	0.415307954188281	0.41530795418828	1	-0.437590774083759	-0.284509286300031	0.194512355232166	-0.433992356911128	0.221374657170016	EGFR	FALSE	-0.0771464421124017	10.6007001340006	3.09023049152934e-08	4	477	0.0816376047496173	0.0816376047496173	0.0737943771564037	0.298152243046314	0.658965431253776	1.00481006905147	0.655810935369935	4.91705183182569e-08	8.8998638156045e-06	TRUE	TRUE	Medium	Large	TRUE	TRUE	2	5	1	3	4	0.0479451479902519	0.0461815938108121	2.46244395813864	973	21069	Non-urothelial	0.0334832673578268	0.0475708502024291	1.22278809066247	47	988	Non-urothelial	3.12007685587019e-34	331	33.5058347080107	Growth_Factor_Response	1.15884141106798	Signal_Receptor	0.491194261705432	Urinary bladder	Urinary bladder	urothelial cells	Low	Approved	urothelial cancer	2	6	1	3	FALSE	Medium	TRUE	High	Cancer_upregulated	High	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	NA	10	10	412	2.4%	FALSE	0.024	Shared_EGFR_ERBB2	2	EGFR,ERBB2	0.0238095238095238	0.0403225806451613	0.0161290322580645	NA	NA	0.05	0.0277777777777778	NA	0.0377358490566038	0.0192307692307692
MAPK1	220	FALSE	417.297764233337	0.002710027100271	0.705536162106567	0.705536162106566	0.705536162106566	2	-0.0667961980218704	-0.475464250759539	0.334585759295458	0.00676463311412217	-0.152702737836253	EGFR	TRUE	0.0384832005004491	13.0234297880641	4.49737971670955e-10	4	477	0.0984583964363134	0.0984583964363134	0.0907268232288611	0.330471105034301	0.810050010054997	1.0229232910475	0.791897121851126	7.94629054240706e-10	1.29524535841235e-07	TRUE	TRUE	Medium	Large	TRUE	TRUE	1	3	4	5	2	0.0670723521187289	0.0645972756182068	2.12813480705118	1361	21069	Non-urothelial	0.0888230559656012	0.132591093117409	1.29301450480133	131	988	Non-urothelial	3.12007685587019e-34	174	33.5058347080107	Growth_Factor_Response	1.15884141106798	Functional_Hub	4.37167209349507	Urinary bladder	Urinary bladder	urothelial cells	High	Enhanced	urothelial cancer	9	2	0	0	TRUE	High	TRUE	High	Constitutive	High	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	Shared_all_3	3	EGFR,FGFR3,ERBB2	NA	0.0564516129032258	NA	0.0161290322580645	NA	NA	0.0138888888888889	0.0138888888888889	NA	0.0288461538461538
RBX1	48	FALSE	11.8551429380682	0.00210970464135021	0.156310762808902	0.156310762808902	0.156310762808902	1	0.0924071464677782	0.0214446233122633	0.00621811557488281	0.351586328759491	-0.216716791475095	EGFR	FALSE	0.0543921823930835	1.774759452283	0.132675297800801	4	477	0.0146644328013123	0.0146644328013123	0.00638846414358656	0.121994585310744	0.568303120234586	1.01997310831128	0.557174611373331	0.143648442731694	1	FALSE	FALSE	Small	Medium	FALSE	FALSE	4	2	5	3	1	0.444071204461116	0.295647633964593	2.99372592849466	6229	21069	Urothelial	1.22857160335434	0.92004048582996	2.72349223828408	909	988	Urothelial	6.4773309825189e-24	53	23.1886039105408	Other	0.802007014914423	Peripheral	-1.80549245246242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	Insufficient_data	Low	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	1	1	412	0.2%	FALSE	0.002	Shared_all_3	3	EGFR,FGFR3,ERBB2	0.00793650793650794	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA
NFKBIA	152	FALSE	90.3889195435203	0.00248756218905473	0.561684901913894	0.561684901913894	0.561684901913894	1	0.384499289542239	-0.0615884132445399	-0.271943350594906	0.137778467656433	-0.172152397705317	EGFR	FALSE	-0.0769053989660506	7.17233533593413	1.29609913695589e-05	4	477	0.0567331343537954	0.0567331343537954	0.0487267825256805	0.245245529405467	0.656442640137145	0.98460996705028	0.666703224733478	1.80326836446037e-05	0.00373276551443297	TRUE	TRUE	Small	Medium	TRUE	FALSE	5	1	4	3	2	0.867831102462495	0.366652427737434	4.76594629574948	7725	21069	Urothelial	1.85791042524441	0.919028340080972	4.32303788726796	908	988	Urothelial	5.03677763712209e-19	92	18.2978472218845	Other	0.632854047030962	Peripheral	-0.432641213757577	Urinary bladder	Urinary bladder	urothelial cells	Medium	Approved	urothelial cancer	0	4	6	2	TRUE	Medium	TRUE	Medium	Constitutive	High	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	NA	7	6	412	1.5%	TRUE	0.015	Shared_all_3	3	EGFR,FGFR3,ERBB2	NA	0.032258064516129	NA	NA	0.05	NA	NA	0.0138888888888889	0.0566037735849057	0.00961538461538462
PIK3R2	102	TRUE	34.6596477555391	0.00224215246636771	0.376010594666936	0.376010594666936	0.376010594666935	2	0.211367755694784	-0.477256739991262	0.588835846626512	-0.603360754106158	-0.1049497285356	EGFR	TRUE	0.127317807430574	40.8199038941631	1.9888360476525e-29	4	477	0.25501298433435	0.25501298433435	0.248377792943605	0.585068606016083	1.19219660073267	0.988461856016509	1.20611290509197	1.060712558748e-28	5.72784781723919e-27	TRUE	TRUE	Large	Very Large	TRUE	TRUE	1	2	3	4	5	0.00317174441691302	0.00393943708766434	1.55303313756667	83	21069	Non-urothelial	0.0140301194437429	0.0222672064777328	0.94654430484636	22	988	Non-urothelial	3.12007685587019e-34	70	33.5058347080107	Growth_Factor_Response	1.15884141106798	Signal_Receptor	0.530900021157296	Urinary bladder	Urinary bladder	urothelial cells	High	Approved	urothelial cancer	1	10	1	0	TRUE	Medium	TRUE	High	Constitutive	High	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	4	4	412	1.0%	TRUE	0.01	Shared_all_3	3	EGFR,FGFR3,ERBB2	0.0238095238095238	NA	NA	NA	NA	NA	0.0138888888888889	NA	0.00943396226415094	0.00961538461538462
IL2	130	FALSE	40.5229477418744	0.00240384615384615	0.539691015471215	0.539691015471215	0.539691015471214	1	-0.153659421510371	-0.17855563753204	-0.264317731233229	0.131546526296585	0.239483140520656	EGFR	FALSE	-0.160846760310546	4.91870761723025	0.000679902783002706	4	477	0.0396131014940813	0.0396131014940813	0.0314961286150473	0.203093633686188	0.503800871753885	0.747335599848184	0.674129362840776	0.000855074242378949	0.195812001504779	TRUE	TRUE	Small	Medium	TRUE	FALSE	5	3	1	4	2	0	0	0	0	21069	Non-urothelial	0	0	0	0	988	Non-urothelial	1.34080447301139e-33	186	32.8726345498766	Phosphorylation	1.13694138765012	Signal_Modifier	0.911599426329055	NA	NA	NA	NA	NA	urothelial cancer	0	2	6	4	NA	NA	TRUE	Low	Insufficient_data	Low	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	NA	1	1	412	0.2%	TRUE	0.002	Shared_all_3	3	EGFR,FGFR3,ERBB2	0.00793650793650794	0.00806451612903226	NA	NA	NA	NA	NA	0.0138888888888889	NA	0.00961538461538462
CCND1	156	FALSE	46.4901249367045	0.0025062656641604	0.631434495896574	0.631434495896574	0.631434495896574	1	0.400644970477685	-0.894177995310131	0.547006718308394	-0.0892280625939685	-0.259779364042628	EGFR	FALSE	0.0987738533061725	61.1035872020221	1.1543468322624e-41	4	477	0.338798845922467	0.338798845922467	0.332792876006336	0.715820546020444	1.44118471361853	0.994946007469697	1.44850544933959	1.95559933936219e-40	3.32451887691571e-39	TRUE	TRUE	Large	Very Large	TRUE	TRUE	1	2	4	5	3	0.18300352357329	0.149081589064502	3.04135336519318	3141	21069	Urothelial	0.870848697692465	0.646761133603239	3.17696915752902	639	988	Urothelial	1.33464473192058e-32	80	31.874634323438	Transferase_Regulation	1.10242429530692	Functional_Hub	1.21306150205785	Urinary bladder	Urinary bladder	urothelial cells	Low	Supported	urothelial cancer	5	3	2	1	FALSE	High	TRUE	High	Cancer_upregulated	High	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	NA	5	5	412	1.2%	TRUE	0.012	Shared_all_3	3	EGFR,FGFR3,ERBB2	0.0238095238095238	0.185483870967742	0.0161290322580645	0.129032258064516	NA	0.05	0.0277777777777778	0.0277777777777778	0.0188679245283019	0.105769230769231
