name	degree	is_seed	betweenness	closeness	eigenvector	hub_score	authority_score	community	mean_expr_UroB	mean_expr_GU	mean_expr_UroA	mean_expr_BaSq	mean_expr_UroC	pathway	is_well_expressed	global_mean	f_statistic	p_value	df_between	df_within	eta_squared	partial_eta_squared	omega_squared	cohens_f	expression_range	overall_sd	effect_size_ratio	p_adjusted_bh	p_adjusted_bonf	significant_05	significant_01	effect_size_category	cohens_f_category	sig_and_meaningful	sig_and_large_effect	rank_UroA	rank_UroB	rank_UroC	rank_GU	rank_BaSq	sc_norm_mean_expression	sc_norm_detection_rate	sc_norm_max_expression	sc_norm_cells_expressing	sc_norm_total_urothelial_cells	sc_norm_classification	sc_cancer_mean_expression	sc_cancer_detection_rate	sc_cancer_max_expression	sc_cancer_cells_expressing	sc_cancer_total_urothelial_cells	sc_cancer_classification	min_p_adjust	functional_diversity	functional_significance	functional_category	functional_specificity_ratio	pathway_role	functional_structural_importance	hpa_normal_tissue	IHC tissue name	hpa_normal_cell_type	hpa_normal_level	hpa_normal_reliability	hpa_cancer_type	hpa_cancer_high	hpa_cancer_medium	hpa_cancer_low	hpa_cancer_not_detected	hpa_normal_expressed	hpa_normal_reliable	hpa_cancer_expressed	hpa_cancer_confidence	hpa_expression_pattern	hpa_data_quality	hpa_filter_has_data	hpa_filter_normal_quality	hpa_filter_cancer_quality	hpa_passes_filter	hpa_high_confidence	hpa_therapeutic_target	hpa_potential_suppressor	is_amplified	is_homdel	tcga_mutsig_q_value	tcga_num_mutations	tcga_num_samples_mutated	tcga_profiled_samples	tcga_frequency	tcga_is_cancer_gene	tcga_mutation_frequency	pathway_sharing	n_pathways	pathways_list	UroA_mut_freq	UroA_alt_freq	UroB_mut_freq	UroB_alt_freq	UroC_mut_freq	UroC_alt_freq	GU_mut_freq	GU_alt_freq	BaSq_mut_freq	BaSq_alt_freq
CD4	126	FALSE	31.6969997322831	0.00423728813559322	0.667825888574842	0.667825888574841	0.667825888574842	1	0.128782480201311	-0.318018537728789	-0.380723167461582	0.197233359304871	0.320596616215155	ERBB2	FALSE	-0.194291714527832	11.6425421677158	4.98593678335484e-09	4	477	0.0889473301908824	0.0889473301908824	0.0811524772343155	0.312460206844565	0.701319783676737	0.851861279223685	0.823279330545298	8.2054273920354e-09	1.43594979360619e-06	TRUE	TRUE	Medium	Large	TRUE	TRUE	5	3	1	4	2	0.0118940196741716	0.0116284588732261	2.00065018203098	245	21069	Non-urothelial	0	0	0	0	988	Non-urothelial	9.91568486458164e-26	75	25.0036772842185	Transferase_Regulation	0.990872574807072	Peripheral	0.441823950001689	Urinary bladder	Urinary bladder	urothelial cells	Not detected	Enhanced	urothelial cancer	0	0	0	12	FALSE	High	FALSE	None	Not_expressed	High	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	NA	3	3	412	0.7%	FALSE	0.007	Shared_all_3	3	EGFR,FGFR3,ERBB2	NA	0.0161290322580645	0.032258064516129	0.0161290322580645	NA	NA	0.0277777777777778	0.0138888888888889	NA	0.0288461538461538
SIRT1	86	FALSE	6.57309923792422	0.00387596899224806	0.453078611110919	0.453078611110918	0.453078611110918	1	-0.437590774083759	-0.284509286300031	0.194512355232166	-0.433992356911128	0.221374657170016	ERBB2	FALSE	-0.0771464421124017	10.6007001340006	3.09023049152934e-08	4	477	0.0816376047496173	0.0816376047496173	0.0737943771564037	0.298152243046314	0.658965431253776	1.00481006905147	0.655810935369935	4.91705183182569e-08	8.8998638156045e-06	TRUE	TRUE	Medium	Large	TRUE	TRUE	2	5	1	3	4	0.0479451479902519	0.0461815938108121	2.46244395813864	973	21069	Non-urothelial	0.0334832673578268	0.0475708502024291	1.22278809066247	47	988	Non-urothelial	5.83446824067576e-26	331	25.2339987198524	Growth_Factor_Response	1	Signal_Receptor	-0.729385884844592	Urinary bladder	Urinary bladder	urothelial cells	Low	Approved	urothelial cancer	2	6	1	3	FALSE	Medium	TRUE	High	Cancer_upregulated	High	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	NA	10	10	412	2.4%	FALSE	0.024	Shared_EGFR_ERBB2	2	EGFR,ERBB2	0.0238095238095238	0.0403225806451613	0.0161290322580645	NA	NA	0.05	0.0277777777777778	NA	0.0377358490566038	0.0192307692307692
MAPK1	144	FALSE	47.1792809730045	0.00446428571428571	0.7344887889889	0.734488788988899	0.7344887889889	2	-0.0667961980218704	-0.475464250759539	0.334585759295458	0.00676463311412217	-0.152702737836253	ERBB2	TRUE	0.0384832005004491	13.0234297880641	4.49737971670955e-10	4	477	0.0984583964363134	0.0984583964363134	0.0907268232288611	0.330471105034301	0.810050010054997	1.0229232910475	0.791897121851126	7.94629054240706e-10	1.29524535841235e-07	TRUE	TRUE	Medium	Large	TRUE	TRUE	1	3	4	5	2	0.0670723521187289	0.0645972756182068	2.12813480705118	1361	21069	Non-urothelial	0.0888230559656012	0.132591093117409	1.29301450480133	131	988	Non-urothelial	1.75123060835322e-31	172	30.7566566606894	Growth_Factor_Response	1.21885781964838	Functional_Hub	1.90846646384867	Urinary bladder	Urinary bladder	urothelial cells	High	Enhanced	urothelial cancer	9	2	0	0	TRUE	High	TRUE	High	Constitutive	High	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	Shared_all_3	3	EGFR,FGFR3,ERBB2	NA	0.0564516129032258	NA	0.0161290322580645	NA	NA	0.0138888888888889	0.0138888888888889	NA	0.0288461538461538
RBX1	46	FALSE	9.44773263485958	0.00363636363636364	0.191094716751649	0.191094716751648	0.191094716751649	3	0.0924071464677782	0.0214446233122633	0.00621811557488281	0.351586328759491	-0.216716791475095	ERBB2	FALSE	0.0543921823930835	1.774759452283	0.132675297800801	4	477	0.0146644328013123	0.0146644328013123	0.00638846414358656	0.121994585310744	0.568303120234586	1.01997310831128	0.557174611373331	0.143648442731694	1	FALSE	FALSE	Small	Medium	FALSE	FALSE	4	2	5	3	1	0.444071204461116	0.295647633964593	2.99372592849466	6229	21069	Urothelial	1.22857160335434	0.92004048582996	2.72349223828408	909	988	Urothelial	3.14031208043885e-18	54	17.5030271901186	Other	0.693628757948238	Peripheral	-2.7631068799826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	Insufficient_data	Low	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	1	1	412	0.2%	FALSE	0.002	Shared_all_3	3	EGFR,FGFR3,ERBB2	0.00793650793650794	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA
STUB1	56	TRUE	5.84539261079821	0.0037593984962406	0.283656839579297	0.283656839579296	0.283656839579296	3	0.187700954115768	-0.321357539037556	0.170379913476644	-0.0846413121144884	-0.193745393190546	ERBB2	TRUE	0.0189578505318391	5.70244773618485	0.000172455059180906	4	477	0.0456369430091083	0.0456369430091083	0.0375587524142773	0.218676172062631	0.509058493153324	0.978663346379006	0.520156900773702	0.000228880447207839	0.049667057044101	TRUE	TRUE	Small	Medium	TRUE	FALSE	2	1	4	5	3	0.161415695268622	0.142057050643125	2.67288103789016	2993	21069	Urothelial	0.739147734347313	0.729757085020243	2.44335198406436	721	988	Urothelial	1.75123060835322e-31	60	30.7566566606894	Growth_Factor_Response	1.21885781964838	Signal_Receptor	-0.573371602733269	Urinary bladder	Urinary bladder	urothelial cells	High	Enhanced	urothelial cancer	8	1	1	1	TRUE	High	TRUE	High	Constitutive	High	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	NA	3	2	412	0.5%	FALSE	0.005	Unique_to_ERBB2	1	ERBB2	0.0317460317460317	0.00806451612903226	0.0161290322580645	0.0161290322580645	NA	0.05	NA	0.0277777777777778	0.00943396226415094	0.0288461538461538
NFKBIA	124	FALSE	55.4907166571738	0.00431034482758621	0.612346070307005	0.612346070307004	0.612346070307005	1	0.384499289542239	-0.0615884132445399	-0.271943350594906	0.137778467656433	-0.172152397705317	ERBB2	FALSE	-0.0769053989660506	7.17233533593413	1.29609913695589e-05	4	477	0.0567331343537954	0.0567331343537954	0.0487267825256805	0.245245529405467	0.656442640137145	0.98460996705028	0.666703224733478	1.80326836446037e-05	0.00373276551443297	TRUE	TRUE	Small	Medium	TRUE	FALSE	5	1	4	3	2	0.867831102462495	0.366652427737434	4.76594629574948	7725	21069	Urothelial	1.85791042524441	0.919028340080972	4.32303788726796	908	988	Urothelial	3.04460619761232e-17	92	16.5164688729044	Other	0.6545323654911	Peripheral	-0.597064157911612	Urinary bladder	Urinary bladder	urothelial cells	Medium	Approved	urothelial cancer	0	4	6	2	TRUE	Medium	TRUE	Medium	Constitutive	High	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	NA	7	6	412	1.5%	TRUE	0.015	Shared_all_3	3	EGFR,FGFR3,ERBB2	NA	0.032258064516129	NA	NA	0.05	NA	NA	0.0138888888888889	0.0566037735849057	0.00961538461538462
PIK3R2	84	FALSE	11.7315055394498	0.00364963503649635	0.429264080874839	0.429264080874838	0.429264080874838	2	0.211367755694784	-0.477256739991262	0.588835846626512	-0.603360754106158	-0.1049497285356	ERBB2	TRUE	0.127317807430574	40.8199038941631	1.9888360476525e-29	4	477	0.25501298433435	0.25501298433435	0.248377792943605	0.585068606016083	1.19219660073267	0.988461856016509	1.20611290509197	1.060712558748e-28	5.72784781723919e-27	TRUE	TRUE	Large	Very Large	TRUE	TRUE	1	2	3	4	5	0.00317174441691302	0.00393943708766434	1.55303313756667	83	21069	Non-urothelial	0.0140301194437429	0.0222672064777328	0.94654430484636	22	988	Non-urothelial	5.83446824067576e-26	75	25.2339987198524	Growth_Factor_Response	1	Signal_Receptor	-0.710691899982585	Urinary bladder	Urinary bladder	urothelial cells	High	Approved	urothelial cancer	1	10	1	0	TRUE	Medium	TRUE	High	Constitutive	High	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	4	4	412	1.0%	TRUE	0.01	Shared_all_3	3	EGFR,FGFR3,ERBB2	0.0238095238095238	NA	NA	NA	NA	NA	0.0138888888888889	NA	0.00943396226415094	0.00961538461538462
IL2	114	FALSE	16.498728738839	0.004149377593361	0.61959358578586	0.619593585785858	0.619593585785859	1	-0.153659421510371	-0.17855563753204	-0.264317731233229	0.131546526296585	0.239483140520656	ERBB2	FALSE	-0.160846760310546	4.91870761723025	0.000679902783002706	4	477	0.0396131014940813	0.0396131014940813	0.0314961286150473	0.203093633686188	0.503800871753885	0.747335599848184	0.674129362840776	0.000855074242378949	0.195812001504779	TRUE	TRUE	Small	Medium	TRUE	FALSE	5	3	1	4	2	0	0	0	0	21069	Non-urothelial	0	0	0	0	988	Non-urothelial	1.61972053930545e-25	190	24.7905599105853	Phosphorylation	0.982426930658507	Signal_Modifier	-0.0466894337464649	NA	NA	NA	NA	NA	urothelial cancer	0	2	6	4	NA	NA	TRUE	Low	Insufficient_data	Low	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	NA	1	1	412	0.2%	TRUE	0.002	Shared_all_3	3	EGFR,FGFR3,ERBB2	0.00793650793650794	0.00806451612903226	NA	NA	NA	NA	NA	0.0138888888888889	NA	0.00961538461538462
CCND1	146	FALSE	43.551805170174	0.00452488687782805	0.760085455661237	0.760085455661235	0.760085455661237	1	0.400644970477685	-0.894177995310131	0.547006718308394	-0.0892280625939685	-0.259779364042628	ERBB2	FALSE	0.0987738533061725	61.1035872020221	1.1543468322624e-41	4	477	0.338798845922467	0.338798845922467	0.332792876006336	0.715820546020444	1.44118471361853	0.994946007469697	1.44850544933959	1.95559933936219e-40	3.32451887691571e-39	TRUE	TRUE	Large	Very Large	TRUE	TRUE	1	2	4	5	3	0.18300352357329	0.149081589064502	3.04135336519318	3141	21069	Urothelial	0.870848697692465	0.646761133603239	3.17696915752902	639	988	Urothelial	9.91568486458164e-26	80	25.0036772842185	Transferase_Regulation	0.990872574807072	Functional_Hub	1.03618401710718	Urinary bladder	Urinary bladder	urothelial cells	Low	Supported	urothelial cancer	5	3	2	1	FALSE	High	TRUE	High	Cancer_upregulated	High	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	NA	5	5	412	1.2%	TRUE	0.012	Shared_all_3	3	EGFR,FGFR3,ERBB2	0.0238095238095238	0.185483870967742	0.0161290322580645	0.129032258064516	NA	0.05	0.0277777777777778	0.0277777777777778	0.0188679245283019	0.105769230769231
GAPDH	208	FALSE	467.849025482863	0.00526315789473684	0.915443197722032	0.915443197722031	0.915443197722033	1	0.339559448057502	-0.359513561330546	0.304045847716101	0.179040670364644	-0.0611776277497596	ERBB2	FALSE	0.133078803876374	10.1979755328307	6.266605985975e-08	4	477	0.0787804945643531	0.0787804945643531	0.0709184202378115	0.292433949005711	0.699073009388048	0.978029297898954	0.714777165561223	9.70313184925162e-08	1.8047825239608e-05	TRUE	TRUE	Medium	Large	TRUE	TRUE	2	1	4	5	3	1.18930864184267	0.424035312544497	6.21514566019783	8934	21069	Urothelial	3.86527037954854	1	5.13584344204952	988	988	Urothelial	1.91490929049021e-15	33	14.7178517937959	Other	0.583254836349696	Peripheral	6.09180033427389	Urinary bladder	Urinary bladder	urothelial cells	Medium	Supported	urothelial cancer	1	9	1	0	TRUE	High	TRUE	High	Constitutive	High	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	NA	3	3	412	0.7%	FALSE	0.007	Shared_all_3	3	EGFR,FGFR3,ERBB2	0.0158730158730159	0.0161290322580645	NA	0.032258064516129	NA	NA	NA	0.0138888888888889	0.0283018867924528	0.0192307692307692
