Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
TFAM		10q21.1	HOMDEL	4	408	1.0%	No
FAM27E5		17p11.2	HOMDEL	4	408	1.0%	No
CITED1		Xq13.1	AMP	2	408	0.5%	No
RNA5SP241		7q31.31	AMP	3	408	0.7%	No
ELF5		11p13	AMP	9	408	2.2%	No
RN7SKP132		10p12.1	AMP	4	408	1.0%	No
BLOC1S6		15q21.1	HOMDEL	2	408	0.5%	No
EPHX3		19p13.12	AMP	4	408	1.0%	No
MASTL		10p12.1	HOMDEL	1	408	0.2%	No
LINC00682		4p13	HOMDEL	2	408	0.5%	No
NOTCH1		9q34.3	AMP	4	408	1.0%	Yes
FAM83D		20q11.23	AMP	6	408	1.5%	No
OSBPL2		20q13.33	AMP	3	408	0.7%	No
OR1D2		17p13.3	HOMDEL	7	408	1.7%	No
KLK2		19q13.33	AMP	8	408	2.0%	Yes
GRN		17q21.31	AMP	3	408	0.7%	No
HNRNPUL2		11q12.3	AMP	6	408	1.5%	No
ANO3		11p14.2	HOMDEL	5	408	1.2%	No
CAVIN3		11p15.4	HOMDEL	4	408	1.0%	No
HNRNPA1P57		2p22.1	AMP	4	408	1.0%	No
FANCB		Xp22.2	AMP	4	408	1.0%	Yes
SMC6		2p24.2	HOMDEL	1	408	0.2%	No
CAVIN4		9q31.1	HOMDEL	5	408	1.2%	No
RN7SKP133		5p15.1	AMP	36	408	8.8%	No
EPHX2		8p21.2-p21.1	AMP	1	408	0.2%	No
PLEC		8q24.3	AMP	20	408	4.9%	No
GOLGA8O		15q13.3	HOMDEL	5	408	1.2%	No
FAM83C		20q11.22	AMP	10	408	2.5%	No
RNA5SP240		7q31.31	AMP	3	408	0.7%	No
HACD3		15q22.31	HOMDEL	1	408	0.2%	No
CITED2		6q24.1	AMP	7	408	1.7%	No
BLOC1S5		6p24.3	HOMDEL	2	408	0.5%	No
TIFAB		5q31.1	HOMDEL	3	408	0.7%	No
LINC00681		8p23.1	HOMDEL	31	408	7.6%	No
CDC16		13q34	AMP	14	408	3.4%	No
KLK3		19q13.33	AMP	8	408	2.0%	No
ELF4		Xq26.1	AMP	2	408	0.5%	Yes
RICTOR		5p13.1	HOMDEL	1	408	0.2%	Yes
SMC5		9q21.12	HOMDEL	4	408	1.0%	No
EPHX1		1q42.12	AMP	1	408	0.2%	No
NPRL3		16p13.3	HOMDEL	5	408	1.2%	No
GCHFR		15q15.1	HOMDEL	2	408	0.5%	No
UBE2NL		Xq27.3	HOMDEL	2	408	0.5%	No
FANCC		9q22.32	AMP	2	408	0.5%	Yes
CEP120		5q23.2	AMP	1	408	0.2%	No
RN7SL422P		9p13.1	AMP	7	408	1.7%	No
HNRNPUL1		19q13.2	AMP	7	408	1.7%	No
HACD2		3q21.1	HOMDEL	1	408	0.2%	No
