name	degree	is_seed	betweenness	closeness	eigenvector	hub_score	authority_score	community	mean_expr_UroB.x	mean_expr_GU.x	mean_expr_UroA.x	mean_expr_BaSq.x	mean_expr_UroC.x	pathway_cond	mean_expr_UroB.y	mean_expr_GU.y	mean_expr_UroA.y	mean_expr_BaSq.y	mean_expr_UroC.y	is_well_expressed	global_mean	f_statistic	p_value	df_between	df_within	eta_squared	partial_eta_squared	omega_squared	cohens_f	expression_range	overall_sd	effect_size_ratio	p_adjusted_bh	p_adjusted_bonf	significant_05	significant_01	effect_size_category	cohens_f_category	sig_and_meaningful	sig_and_large_effect	rank_UroA	rank_UroB	rank_UroC	rank_GU	rank_BaSq	sc_norm_mean_expression	sc_norm_detection_rate	sc_norm_max_expression	sc_norm_cells_expressing	sc_norm_total_urothelial_cells	sc_norm_classification	sc_cancer_mean_expression	sc_cancer_detection_rate	sc_cancer_max_expression	sc_cancer_cells_expressing	sc_cancer_total_urothelial_cells	sc_cancer_classification	min_p_adjust	functional_diversity	functional_significance	functional_category	functional_specificity_ratio	pathway_role	functional_structural_importance	hpa_normal_tissue	hpa_normal_cell_type	hpa_normal_level	hpa_normal_reliability	hpa_cancer_type	hpa_cancer_high	hpa_cancer_medium	hpa_cancer_low	hpa_cancer_not_detected	hpa_normal_expressed	hpa_normal_reliable	hpa_cancer_expressed	hpa_cancer_confidence	hpa_expression_pattern	hpa_data_quality	hpa_filter_has_data	hpa_filter_normal_quality	hpa_filter_cancer_quality	hpa_passes_filter	hpa_high_confidence	hpa_therapeutic_target	hpa_potential_suppressor	tcga_is_cancer_gene	UroA_mut_freq	UroA_alt_freq	UroB_mut_freq	UroB_alt_freq	UroC_mut_freq	UroC_alt_freq	GU_mut_freq	GU_alt_freq	BaSq_mut_freq	BaSq_alt_freq
MAPK13	74	TRUE	21.8812375797483	0.00174216027874564	0.230916855815533	0.230916855815533	0.230916855815533	1	0.246418425865689	-0.0576362125843151	0.612724938508561	-0.42783394467664	-0.07318704574203	Unique:EGFR	0.246418425865689	-0.0576362125843151	0.612724938508561	-0.42783394467664	-0.07318704574203	TRUE	0.258429517739683	44.2843895714404	1.27749539315862e-31	4	477	0.270795578150213	0.270795578150213	0.264276648615284	0.609391142485991	1.0405588831852	0.72642744268616	1.43243333337939	7.66497235895173e-31	3.67918673229683e-29	TRUE	TRUE	Large	Very Large	TRUE	TRUE	1	2	4	3	5	0.0555640967947156	0.0557216763966016	2.13995587708234	1174	21069	Non-urothelial	0.397919485134498	0.476720647773279	1.87718081690313	471	988	Urothelial	2.43787787138246e-30	34	29.6129880547116	Phosphorylation	1.0242024161558	Signal_Modifier	-0.528044055512837	Urinary bladder	urothelial cells	High	Enhanced	urothelial cancer	4	6	0	1	TRUE	High	TRUE	High	Constitutive	High	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0.0158730158730159	NA	NA	0.0161290322580645	NA	NA	0.0138888888888889	NA	0.00943396226415094	0.0192307692307692
FGF4	82	TRUE	13.0766293531765	0.00186567164179104	0.319938878028223	0.319938878028223	0.319938878028222	2	0.0208008173952283	0.025172257917687	-0.0169254186294333	-0.0309084045928102	-0.0945983129949534	Unique:FGFR3	0.0208008173952283	0.025172257917687	-0.0169254186294333	-0.0309084045928102	-0.0945983129949534	TRUE	-0.00709405107230713	0.0892363388591132	0.985801833941737	4	477	0.000747753560327218	0.000747753560327218	0	0.0273553123565157	0.11977057091264	1.01822299697571	0.117627053472941	0.985801833941737	1	FALSE	FALSE	Negligible	Small	FALSE	FALSE	3	2	5	1	4	0	0	0	0	21069	Non-urothelial	0	0	0	0	988	Non-urothelial	5.34189550622665e-23	51	22.2723046115436	MAPK_Signaling	1	Core_Process	-1.40201660003126	NA	NA	NA	NA	urothelial cancer	0	0	0	11	NA	NA	FALSE	None	Insufficient_data	Low	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	0.169354838709677	NA	0.129032258064516	NA	0.05	0.0138888888888889	NA	NA	0.115384615384615
FGF20	64	TRUE	7.3048614655596	0.00182481751824818	0.254907023274035	0.254907023274036	0.254907023274035	2	-0.0499975692573449	-0.237202669336222	0.0019322545267771	-0.0647285218274405	0.0578841920843499	Unique:FGFR3	-0.0499975692573449	-0.237202669336222	0.00193225452677713	-0.0647285218274406	0.05788419208435	TRUE	-0.0638990232154627	1.65859647819846	0.15844832254689	4	477	0.0137177713290017	0.0137177713290017	0.00543582128996493	0.117934582947131	0.295086861420572	0.824170606442538	0.358040991894008	0.170272824229494	1	FALSE	FALSE	Small	Medium	FALSE	FALSE	2	3	1	5	4	0	0	0	0	21069	Non-urothelial	0	0	0	0	988	Non-urothelial	5.34189550622665e-23	32	22.2723046115436	MAPK_Signaling	1	Core_Process	-1.8827822324801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	Insufficient_data	Low	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	0.0967741935483871	NA	0.0483870967741935	NA	0.15	NA	0.0833333333333333	0.00943396226415094	0.0673076923076923
MAPK12	84	TRUE	46.0977567692044	0.00177304964539007	0.257153215489578	0.257153215489578	0.257153215489578	1	-0.282082191465712	-0.0273360382297385	-0.63507494974772	0.765958295944807	0.246194592524504	Unique:EGFR	-0.282082191465712	-0.0273360382297385	-0.63507494974772	0.765958295944807	0.246194592524504	FALSE	-0.245002051830173	58.6193290971181	3.07000873366374e-40	4	477	0.329564008559966	0.329564008559966	0.323487234031191	0.701118179071154	1.40103324569253	0.809644867429449	1.73042935495989	4.42081257647579e-39	8.84162515295158e-38	TRUE	TRUE	Large	Very Large	TRUE	TRUE	5	4	2	3	1	0.00159861198525887	0.00185106080022782	1.49038171451844	39	21069	Non-urothelial	0.00117621095325823	0.00202429149797571	0.740379817850321	2	988	Non-urothelial	2.43787787138246e-30	12	29.6129880547116	Phosphorylation	1.0242024161558	Signal_Modifier	-0.247417811882051	Urinary bladder	urothelial cells	Not detected	Enhanced	urothelial cancer	0	1	6	5	FALSE	High	TRUE	Low	Cancer_upregulated	High	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.00793650793650794	0.0241935483870968	0.0161290322580645	NA	NA	0.1	NA	0.0555555555555556	NA	0.0192307692307692
CD4	146	TRUE	54.4230096629476	0.001953125	0.536532303369214	0.536532303369214	0.536532303369213	3	0.128782480201311	-0.318018537728789	-0.380723167461582	0.197233359304871	0.320596616215155	EGFR,FGFR3,ERBB2	0.128782480201311	-0.318018537728789	-0.380723167461582	0.197233359304871	0.320596616215155	FALSE	-0.194291714527832	11.6425421677158	4.98593678335484e-09	4	477	0.0889473301908824	0.0889473301908824	0.0811524772343155	0.312460206844565	0.701319783676737	0.851861279223685	0.823279330545298	8.2054273920354e-09	1.43594979360619e-06	TRUE	TRUE	Medium	Large	TRUE	TRUE	5	3	1	4	2	0.0118940196741716	0.0116284588732261	2.00065018203098	245	21069	Non-urothelial	0	0	0	0	988	Non-urothelial	1.34080447301139e-33	74	32.8726345498766	Phosphorylation	1.13694138765012	Signal_Modifier	1.12204625152352	Urinary bladder	urothelial cells	Not detected	Enhanced	urothelial cancer	0	0	0	12	FALSE	High	FALSE	None	Not_expressed	High	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	0.0161290322580645	0.032258064516129	0.0161290322580645	NA	NA	0.0277777777777778	0.0138888888888889	NA	0.0288461538461538
SIRT1	106	TRUE	15.1073838523218	0.00185185185185185	0.366166912347067	0.366166912347067	0.366166912347066	3	-0.437590774083759	-0.284509286300031	0.194512355232166	-0.433992356911127	0.221374657170016	EGFR,ERBB2	-0.437590774083759	-0.284509286300031	0.194512355232166	-0.433992356911128	0.221374657170016	FALSE	-0.0771464421124017	10.6007001340006	3.09023049152934e-08	4	477	0.0816376047496173	0.0816376047496173	0.0737943771564037	0.298152243046314	0.658965431253776	1.00481006905147	0.655810935369935	4.91705183182569e-08	8.8998638156045e-06	TRUE	TRUE	Medium	Large	TRUE	TRUE	2	5	1	3	4	0.0479451479902519	0.0461815938108121	2.46244395813864	973	21069	Non-urothelial	0.0334832673578268	0.0475708502024291	1.22278809066247	47	988	Non-urothelial	3.12007685587019e-34	331	33.5058347080107	Growth_Factor_Response	1.15884141106798	Signal_Receptor	0.491194261705432	Urinary bladder	urothelial cells	Low	Approved	urothelial cancer	2	6	1	3	FALSE	Medium	TRUE	High	Cancer_upregulated	High	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0.0238095238095238	0.0403225806451613	0.0161290322580645	NA	NA	0.05	0.0277777777777778	NA	0.0377358490566038	0.0192307692307692
MAPK1	264	TRUE	664.167498346373	0.0022271714922049	0.735075029770093	0.735075029770093	0.735075029770091	1	-0.0667961980218705	-0.475464250759539	0.334585759295458	0.00676463311412215	-0.152702737836253	EGFR,FGFR3,ERBB2	-0.0667961980218704	-0.475464250759539	0.334585759295458	0.00676463311412217	-0.152702737836253	TRUE	0.0384832005004491	13.0234297880641	4.49737971670955e-10	4	477	0.0984583964363134	0.0984583964363134	0.0907268232288611	0.330471105034301	0.810050010054997	1.0229232910475	0.791897121851126	7.94629054240706e-10	1.29524535841235e-07	TRUE	TRUE	Medium	Large	TRUE	TRUE	1	3	4	5	2	0.0670723521187289	0.0645972756182068	2.12813480705118	1361	21069	Non-urothelial	0.0888230559656012	0.132591093117409	1.29301450480133	131	988	Non-urothelial	3.12007685587019e-34	174	33.5058347080107	Growth_Factor_Response	1.15884141106798	Functional_Hub	4.37167209349507	Urinary bladder	urothelial cells	High	Enhanced	urothelial cancer	9	2	0	0	TRUE	High	TRUE	High	Constitutive	High	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	NA	NA	0.0564516129032258	NA	0.0161290322580645	NA	NA	0.0138888888888889	0.0138888888888889	NA	0.0288461538461538
RBX1	54	TRUE	18.8451654761868	0.00174520069808028	0.147536635258893	0.147536635258893	0.147536635258893	4	0.0924071464677782	0.0214446233122633	0.00621811557488286	0.351586328759491	-0.216716791475095	EGFR,FGFR3,ERBB2	0.0924071464677782	0.0214446233122633	0.00621811557488281	0.351586328759491	-0.216716791475095	FALSE	0.0543921823930835	1.774759452283	0.132675297800801	4	477	0.0146644328013123	0.0146644328013123	0.00638846414358656	0.121994585310744	0.568303120234586	1.01997310831128	0.557174611373331	0.143648442731694	1	FALSE	FALSE	Small	Medium	FALSE	FALSE	4	2	5	3	1	0.444071204461116	0.295647633964593	2.99372592849466	6229	21069	Urothelial	1.22857160335434	0.92004048582996	2.72349223828408	909	988	Urothelial	6.4773309825189e-24	53	23.1886039105408	Other	0.802007014914423	Peripheral	-1.80549245246242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	Insufficient_data	Low	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.00793650793650794	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA
STUB1	66	TRUE	12.5002903241117	0.00183150183150183	0.231181952587523	0.231181952587523	0.231181952587523	3	0.187700954115768	-0.321357539037556	0.170379913476644	-0.0846413121144885	-0.193745393190546	Unique:ERBB2	0.187700954115768	-0.321357539037556	0.170379913476644	-0.0846413121144884	-0.193745393190546	TRUE	0.0189578505318391	5.70244773618485	0.000172455059180906	4	477	0.0456369430091083	0.0456369430091083	0.0375587524142773	0.218676172062631	0.509058493153324	0.978663346379006	0.520156900773702	0.000228880447207839	0.049667057044101	TRUE	TRUE	Small	Medium	TRUE	FALSE	2	1	4	5	3	0.161415695268622	0.142057050643125	2.67288103789016	2993	21069	Urothelial	0.739147734347313	0.729757085020243	2.44335198406436	721	988	Urothelial	1.75123060835322e-31	60	30.7566566606894	Growth_Factor_Response	1.21885781964838	Signal_Receptor	-0.573371602733269	Urinary bladder	urothelial cells	High	Enhanced	urothelial cancer	8	1	1	1	TRUE	High	TRUE	High	Constitutive	High	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	0.0317460317460317	0.00806451612903226	0.0161290322580645	0.0161290322580645	NA	0.05	NA	0.0277777777777778	0.00943396226415094	0.0288461538461538
NFKBIA	158	TRUE	116.8805258029	0.00200400801603206	0.515053208626231	0.515053208626231	0.51505320862623	3	0.384499289542239	-0.0615884132445399	-0.271943350594906	0.137778467656433	-0.172152397705317	EGFR,FGFR3,ERBB2	0.384499289542239	-0.0615884132445399	-0.271943350594906	0.137778467656433	-0.172152397705317	FALSE	-0.0769053989660506	7.17233533593413	1.29609913695589e-05	4	477	0.0567331343537954	0.0567331343537954	0.0487267825256805	0.245245529405467	0.656442640137145	0.98460996705028	0.666703224733478	1.80326836446037e-05	0.00373276551443297	TRUE	TRUE	Small	Medium	TRUE	FALSE	5	1	4	3	2	0.867831102462495	0.366652427737434	4.76594629574948	7725	21069	Urothelial	1.85791042524441	0.919028340080972	4.32303788726796	908	988	Urothelial	5.03677763712209e-19	92	18.2978472218845	Other	0.632854047030962	Peripheral	-0.432641213757577	Urinary bladder	urothelial cells	Medium	Approved	urothelial cancer	0	4	6	2	TRUE	Medium	TRUE	Medium	Constitutive	High	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	NA	0.032258064516129	NA	NA	0.05	NA	NA	0.0138888888888889	0.0566037735849057	0.00961538461538462
