name	degree	is_seed	betweenness	closeness	eigenvector	hub_score	authority_score	community	mean_expr_UroB	mean_expr_GU	mean_expr_UroA	mean_expr_BaSq	mean_expr_UroC	pathway	is_well_expressed	global_mean	f_statistic	p_value	df_between	df_within	eta_squared	partial_eta_squared	omega_squared	cohens_f	expression_range	overall_sd	effect_size_ratio	p_adjusted_bh	p_adjusted_bonf	significant_05	significant_01	effect_size_category	cohens_f_category	sig_and_meaningful	sig_and_large_effect	rank_UroA	rank_UroB	rank_UroC	rank_GU	rank_BaSq	sc_norm_mean_expression	sc_norm_detection_rate	sc_norm_max_expression	sc_norm_cells_expressing	sc_norm_total_urothelial_cells	sc_norm_classification	sc_cancer_mean_expression	sc_cancer_detection_rate	sc_cancer_max_expression	sc_cancer_cells_expressing	sc_cancer_total_urothelial_cells	sc_cancer_classification	min_p_adjust	functional_diversity	functional_significance	functional_category	functional_specificity_ratio	pathway_role	functional_structural_importance	hpa_normal_tissue	IHC tissue name	hpa_normal_cell_type	hpa_normal_level	hpa_normal_reliability	hpa_cancer_type	hpa_cancer_high	hpa_cancer_medium	hpa_cancer_low	hpa_cancer_not_detected	hpa_normal_expressed	hpa_normal_reliable	hpa_cancer_expressed	hpa_cancer_confidence	hpa_expression_pattern	hpa_data_quality	hpa_filter_has_data	hpa_filter_normal_quality	hpa_filter_cancer_quality	hpa_passes_filter	hpa_high_confidence	hpa_therapeutic_target	hpa_potential_suppressor	is_amplified	is_homdel	tcga_mutsig_q_value	tcga_num_mutations	tcga_num_samples_mutated	tcga_profiled_samples	tcga_frequency	tcga_is_cancer_gene	tcga_mutation_frequency	pathway_sharing	n_pathways	pathways_list	UroA_mut_freq	UroA_alt_freq	UroB_mut_freq	UroB_alt_freq	UroC_mut_freq	UroC_alt_freq	GU_mut_freq	GU_alt_freq	BaSq_mut_freq	BaSq_alt_freq
FGF4	72	TRUE	9.56751059362689	0.00440528634361234	0.431739802657512	0.431739802657511	0.431739802657511	1	0.0208008173952283	0.025172257917687	-0.0169254186294333	-0.0309084045928102	-0.0945983129949534	FGFR3	TRUE	-0.00709405107230713	0.0892363388591132	0.985801833941737	4	477	0.000747753560327218	0.000747753560327218	0	0.0273553123565157	0.11977057091264	1.01822299697571	0.117627053472941	0.985801833941737	1	FALSE	FALSE	Negligible	Small	FALSE	FALSE	3	2	5	1	4	0	0	0	0	21069	Non-urothelial	0	0	0	0	988	Non-urothelial	5.34189550622665e-23	51	22.2723046115436	MAPK_Signaling	1	Core_Process	-1.40201660003126	NA	NA	NA	NA	NA	urothelial cancer	0	0	0	11	NA	NA	FALSE	None	Insufficient_data	Low	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	1	1	412	0.2%	TRUE	0.002	Unique_to_FGFR3	1	FGFR3	NA	0.169354838709677	NA	0.129032258064516	NA	0.05	0.0138888888888889	NA	NA	0.115384615384615
FGF20	56	TRUE	5.82371857649984	0.00425531914893617	0.338226571564556	0.338226571564556	0.338226571564556	1	-0.0499975692573449	-0.237202669336222	0.00193225452677713	-0.0647285218274406	0.05788419208435	FGFR3	TRUE	-0.0638990232154627	1.65859647819846	0.15844832254689	4	477	0.0137177713290017	0.0137177713290017	0.00543582128996493	0.117934582947131	0.295086861420572	0.824170606442538	0.358040991894008	0.170272824229494	1	FALSE	FALSE	Small	Medium	FALSE	FALSE	2	3	1	5	4	0	0	0	0	21069	Non-urothelial	0	0	0	0	988	Non-urothelial	5.34189550622665e-23	32	22.2723046115436	MAPK_Signaling	1	Core_Process	-1.8827822324801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	Insufficient_data	Low	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	Unique_to_FGFR3	1	FGFR3	NA	0.0967741935483871	NA	0.0483870967741935	NA	0.15	NA	0.0833333333333333	0.00943396226415094	0.0673076923076923
CD4	114	FALSE	15.7212552674553	0.00467289719626168	0.706660633448054	0.706660633448054	0.706660633448054	2	0.128782480201311	-0.318018537728789	-0.380723167461582	0.197233359304871	0.320596616215155	FGFR3	FALSE	-0.194291714527832	11.6425421677158	4.98593678335484e-09	4	477	0.0889473301908824	0.0889473301908824	0.0811524772343155	0.312460206844565	0.701319783676737	0.851861279223685	0.823279330545298	8.2054273920354e-09	1.43594979360619e-06	TRUE	TRUE	Medium	Large	TRUE	TRUE	5	3	1	4	2	0.0118940196741716	0.0116284588732261	2.00065018203098	245	21069	Non-urothelial	0	0	0	0	988	Non-urothelial	5.34189550622665e-23	71	22.2723046115436	MAPK_Signaling	1	Core_Process	-0.18743412072678	Urinary bladder	Urinary bladder	urothelial cells	Not detected	Enhanced	urothelial cancer	0	0	0	12	FALSE	High	FALSE	None	Not_expressed	High	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	NA	3	3	412	0.7%	FALSE	0.007	Shared_all_3	3	EGFR,FGFR3,ERBB2	NA	0.0161290322580645	0.032258064516129	0.0161290322580645	NA	NA	0.0277777777777778	0.0138888888888889	NA	0.0288461538461538
MAPK1	136	TRUE	43.6427364053731	0.00497512437810945	0.777987184704267	0.777987184704267	0.777987184704267	1	-0.0667961980218704	-0.475464250759539	0.334585759295458	0.00676463311412217	-0.152702737836253	FGFR3	TRUE	0.0384832005004491	13.0234297880641	4.49737971670955e-10	4	477	0.0984583964363134	0.0984583964363134	0.0907268232288611	0.330471105034301	0.810050010054997	1.0229232910475	0.791897121851126	7.94629054240706e-10	1.29524535841235e-07	TRUE	TRUE	Medium	Large	TRUE	TRUE	1	3	4	5	2	0.0670723521187289	0.0645972756182068	2.12813480705118	1361	21069	Non-urothelial	0.0888230559656012	0.132591093117409	1.29301450480133	131	988	Non-urothelial	5.34189550622665e-23	175	22.2723046115436	MAPK_Signaling	1	Functional_Hub	0.767626208517918	Urinary bladder	Urinary bladder	urothelial cells	High	Enhanced	urothelial cancer	9	2	0	0	TRUE	High	TRUE	High	Constitutive	High	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	Shared_all_3	3	EGFR,FGFR3,ERBB2	NA	0.0564516129032258	NA	0.0161290322580645	NA	NA	0.0138888888888889	0.0138888888888889	NA	0.0288461538461538
RBX1	40	FALSE	6.09792248591758	0.0040983606557377	0.204657534362713	0.204657534362713	0.204657534362713	3	0.0924071464677782	0.0214446233122633	0.00621811557488281	0.351586328759491	-0.216716791475095	FGFR3	FALSE	0.0543921823930835	1.774759452283	0.132675297800801	4	477	0.0146644328013123	0.0146644328013123	0.00638846414358656	0.121994585310744	0.568303120234586	1.01997310831128	0.557174611373331	0.143648442731694	1	FALSE	FALSE	Small	Medium	FALSE	FALSE	4	2	5	3	1	0.444071204461116	0.295647633964593	2.99372592849466	6229	21069	Urothelial	1.22857160335434	0.92004048582996	2.72349223828408	909	988	Urothelial	4.42079082075571e-15	54	14.3545000341873	Other	0.644499987071272	Peripheral	-3.18984427155841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	Insufficient_data	Low	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	1	1	412	0.2%	FALSE	0.002	Shared_all_3	3	EGFR,FGFR3,ERBB2	0.00793650793650794	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA
NFKBIA	112	FALSE	38.7540075937374	0.00480769230769231	0.651671721568916	0.651671721568917	0.651671721568916	2	0.384499289542239	-0.0615884132445399	-0.271943350594906	0.137778467656433	-0.172152397705317	FGFR3	FALSE	-0.0769053989660506	7.17233533593413	1.29609913695589e-05	4	477	0.0567331343537954	0.0567331343537954	0.0487267825256805	0.245245529405467	0.656442640137145	0.98460996705028	0.666703224733478	1.80326836446037e-05	0.00373276551443297	TRUE	TRUE	Small	Medium	TRUE	FALSE	5	1	4	3	2	0.867831102462495	0.366652427737434	4.76594629574948	7725	21069	Urothelial	1.85791042524441	0.919028340080972	4.32303788726796	908	988	Urothelial	1.62727730429865e-14	82	13.788538432641	Other	0.619088983970457	Peripheral	-0.885076816619718	Urinary bladder	Urinary bladder	urothelial cells	Medium	Approved	urothelial cancer	0	4	6	2	TRUE	Medium	TRUE	Medium	Constitutive	High	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	NA	7	6	412	1.5%	TRUE	0.015	Shared_all_3	3	EGFR,FGFR3,ERBB2	NA	0.032258064516129	NA	NA	0.05	NA	NA	0.0138888888888889	0.0566037735849057	0.00961538461538462
PIK3R2	80	FALSE	9.47419518274632	0.004	0.454537914850558	0.454537914850558	0.454537914850558	1	0.211367755694784	-0.477256739991262	0.588835846626512	-0.603360754106158	-0.1049497285356	FGFR3	TRUE	0.127317807430574	40.8199038941631	1.9888360476525e-29	4	477	0.25501298433435	0.25501298433435	0.248377792943605	0.585068606016083	1.19219660073267	0.988461856016509	1.20611290509197	1.060712558748e-28	5.72784781723919e-27	TRUE	TRUE	Large	Very Large	TRUE	TRUE	1	2	3	4	5	0.00317174441691302	0.00393943708766434	1.55303313756667	83	21069	Non-urothelial	0.0140301194437429	0.0222672064777328	0.94654430484636	22	988	Non-urothelial	1.5289546509811e-19	74	18.8156053956346	Growth_Factor_Response	0.844798314489763	Signal_Receptor	-1.57038908290399	Urinary bladder	Urinary bladder	urothelial cells	High	Approved	urothelial cancer	1	10	1	0	TRUE	Medium	TRUE	High	Constitutive	High	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	4	4	412	1.0%	TRUE	0.01	Shared_all_3	3	EGFR,FGFR3,ERBB2	0.0238095238095238	NA	NA	NA	NA	NA	0.0138888888888889	NA	0.00943396226415094	0.00961538461538462
IL2	112	FALSE	11.9248414148551	0.00467289719626168	0.697709822292592	0.697709822292592	0.697709822292592	2	-0.153659421510371	-0.17855563753204	-0.264317731233229	0.131546526296585	0.239483140520656	FGFR3	FALSE	-0.160846760310546	4.91870761723025	0.000679902783002706	4	477	0.0396131014940813	0.0396131014940813	0.0314961286150473	0.203093633686188	0.503800871753885	0.747335599848184	0.674129362840776	0.000855074242378949	0.195812001504779	TRUE	TRUE	Small	Medium	TRUE	FALSE	5	3	1	4	2	0	0	0	0	21069	Non-urothelial	0	0	0	0	988	Non-urothelial	2.51168328744834e-18	177	17.6000351241646	Phosphorylation	0.79022065435665	Signal_Modifier	-0.808703921653724	NA	NA	NA	NA	NA	urothelial cancer	0	2	6	4	NA	NA	TRUE	Low	Insufficient_data	Low	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	NA	1	1	412	0.2%	TRUE	0.002	Shared_all_3	3	EGFR,FGFR3,ERBB2	0.00793650793650794	0.00806451612903226	NA	NA	NA	NA	NA	0.0138888888888889	NA	0.00961538461538462
CCND1	130	FALSE	23.3372093844012	0.00505050505050505	0.794444744643099	0.794444744643099	0.794444744643099	2	0.400644970477685	-0.894177995310131	0.547006718308394	-0.0892280625939685	-0.259779364042628	FGFR3	FALSE	0.0987738533061725	61.1035872020221	1.1543468322624e-41	4	477	0.338798845922467	0.338798845922467	0.332792876006336	0.715820546020444	1.44118471361853	0.994946007469697	1.44850544933959	1.95559933936219e-40	3.32451887691571e-39	TRUE	TRUE	Large	Very Large	TRUE	TRUE	1	2	4	5	3	0.18300352357329	0.149081589064502	3.04135336519318	3141	21069	Urothelial	0.870848697692465	0.646761133603239	3.17696915752902	639	988	Urothelial	2.25877667312578e-20	77	19.6461267059648	Transferase_Regulation	0.882087734009456	Peripheral	0.052049870105529	Urinary bladder	Urinary bladder	urothelial cells	Low	Supported	urothelial cancer	5	3	2	1	FALSE	High	TRUE	High	Cancer_upregulated	High	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	NA	5	5	412	1.2%	TRUE	0.012	Shared_all_3	3	EGFR,FGFR3,ERBB2	0.0238095238095238	0.185483870967742	0.0161290322580645	0.129032258064516	NA	0.05	0.0277777777777778	0.0277777777777778	0.0188679245283019	0.105769230769231
GAPDH	184	FALSE	434.024138621088	0.00584795321637427	0.934215531311297	0.934215531311297	0.934215531311296	2	0.339559448057502	-0.359513561330546	0.304045847716101	0.179040670364644	-0.0611776277497596	FGFR3	FALSE	0.133078803876374	10.1979755328307	6.266605985975e-08	4	477	0.0787804945643531	0.0787804945643531	0.0709184202378115	0.292433949005711	0.699073009388048	0.978029297898954	0.714777165561223	9.70313184925162e-08	1.8047825239608e-05	TRUE	TRUE	Medium	Large	TRUE	TRUE	2	1	4	5	3	1.18930864184267	0.424035312544497	6.21514566019783	8934	21069	Urothelial	3.86527037954854	1	5.13584344204952	988	988	Urothelial	4.94563673628028e-13	35	12.3057777863214	Other	0.552514793639425	Peripheral	5.99932739710561	Urinary bladder	Urinary bladder	urothelial cells	Medium	Supported	urothelial cancer	1	9	1	0	TRUE	High	TRUE	High	Constitutive	High	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	NA	3	3	412	0.7%	FALSE	0.007	Shared_all_3	3	EGFR,FGFR3,ERBB2	0.0158730158730159	0.0161290322580645	NA	0.032258064516129	NA	NA	NA	0.0138888888888889	0.0283018867924528	0.0192307692307692
